player_id,Name,PA,season
18401,Ronald Acuna Jr.,735,2023
5361,Freddie Freeman,730,2023
13611,Mookie Betts,693,2023
19755,Shohei Ohtani,599,2023
14344,Matt Olson,720,2023
13624,Corey Seager,536,2023
12533,Marcus Semien,753,2023
20123,Juan Soto,708,2023
25764,Bobby Witt Jr.,694,2023
20503,William Contreras,611,2023
23697,Julio Rodriguez,714,2023
26288,Adley Rutschman,687,2023
12916,Francisco Lindor,687,2023
25878,Corbin Carroll,645,2023
18360,Austin Riley,715,2023
16578,Yandy Diaz,600,2023
18345,Kyle Tucker,674,2023
20043,Luis Robert Jr.,595,2023
15491,J.P. Crawford,638,2023
18314,Dansby Swanson,638,2023
19287,Adolis Garcia,632,2023
26289,Gunnar Henderson,622,2023
13510,Jose Ramirez,691,2023
12161,Xander Bogaerts,665,2023
21479,Nico Hoerner,688,2023
15998,Cody Bellinger,556,2023
17678,Alex Bregman,724,2023
13613,Ketel Marte,650,2023
21534,Cal Raleigh,569,2023
20036,Isaac Paredes,571,2023
12927,Brandon Nimmo,682,2023
27506,Ha-seong Kim,626,2023
16556,Ozzie Albies,660,2023
19522,TJ Friedl,556,2023
16252,Trea Turner,691,2023
26294,Bryson Stott,640,2023
19709,Fernando Tatis Jr.,635,2023
13419,Christian Walker,661,2023
19612,Bo Bichette,601,2023
25931,Michael Harris II,539,2023
24770,James Outman,567,2023
11477,Christian Yelich,632,2023
19197,Will Smith,554,2023
19950,Andres Gimenez,616,2023
16997,Gleyber Torres,672,2023
11579,Bryce Harper,546,2023
17350,Rafael Devers,656,2023
16426,Thairo Estrada,530,2023
12552,Eugenio Suarez,694,2023
18568,Luis Arraez,617,2023
9218,Paul Goldschmidt,687,2023
11493,Manny Machado,601,2023
15986,Willy Adames,638,2023
17919,Ian Happ,691,2023
10324,Marcell Ozuna,592,2023
13621,Jeimer Candelario,576,2023
18577,Ke'Bryan Hayes,525,2023
30116,Seiya Suzuki,583,2023
19290,Randy Arozarena,654,2023
21454,Lars Nootbaar,503,2023
24610,Steven Kwan,718,2023
16939,Lane Thomas,682,2023
16505,Matt Chapman,581,2023
19251,Pete Alonso,658,2023
26299,Josh Jung,515,2023
19566,Nathaniel Lowe,724,2023
11615,Brandon Drury,523,2023
22244,Jack Suwinski,534,2023
9777,Nolan Arenado,612,2023
19363,Austin Hays,566,2023
21636,Jeremy Pena,634,2023
13301,Max Muncy,579,2023
14551,Anthony Santander,656,2023
18900,Leody Taveras,554,2023
13185,Orlando Arcia,533,2023
15362,Jeff McNeil,648,2023
19470,Tommy Edman,528,2023
22275,Jake Burger,540,2023
25768,CJ Abrams,614,2023
16219,J.D. Davis,546,2023
22715,Maikel Garcia,515,2023
19627,Brent Rooker,526,2023
19326,Bryan Reynolds,640,2023
26323,Spencer Steer,665,2023
19238,Lourdes Gurriel Jr.,592,2023
11739,J.T. Realmuto,540,2023
14221,Jorge Soler,580,2023
13066,Teoscar Hernandez,678,2023
12856,George Springer,683,2023
19918,Daulton Varsho,581,2023
27647,Anthony Volpe,601,2023
22514,Triston Casas,502,2023
18126,LaMonte Wade Jr.,519,2023
15112,Ryan McMahon,627,2023
11445,Mark Canha,507,2023
21558,Matt Vierling,530,2023
14162,Carlos Correa,580,2023
24064,Ezequiel Tovar,615,2023
18564,Trent Grisham,555,2023
21523,Jonathan India,529,2023
2396,Carlos Santana,619,2023
17027,Alex Verdugo,602,2023
21618,Alec Bohm,611,2023
11737,Nick Castellanos,671,2023
27465,Spencer Torkelson,684,2023
12155,Eddie Rosario,516,2023
9874,DJ LeMahieu,562,2023
17982,Ty France,665,2023
5235,Justin Turner,626,2023
19611,Vladimir Guerrero Jr.,682,2023
11281,Whit Merrifield,592,2023
19392,Zach McKinstry,518,2023
16478,Kyle Schwarber,720,2023
18036,Jake Cronenworth,522,2023
31837,Masataka Yoshida,580,2023
12979,Javier Baez,547,2023
13145,Josh Bell,617,2023
26197,Andrew Vaughn,615,2023
22197,MJ Melendez,602,2023
15464,Hunter Renfroe,548,2023
15518,Amed Rosario,545,2023
17620,Myles Straw,518,2023
11680,Elias Diaz,526,2023
15653,Dominic Smith,586,2023
15172,Tim Anderson,524,2023
14366,Joey Meneses,657,2023
19600,Bryan De La Cruz,626,2023
7304,Salvador Perez,580,2023
17901,Andrew Benintendi,621,2023
19610,Keibert Ruiz,562,2023
15676,Jose Abreu,594,2023
17988,Tyler Stephenson,517,2023
10472,Enrique Hernandez,508,2023
10815,Jurickson Profar,521,2023
