playerid,Player_Name,week_start,week_end,HR,week_number
592450,Aaron Judge,2024-03-28,2024-04-03,1,1
666969,Adolis Garcia,2024-03-28,2024-04-03,3,1
663586,Austin Riley,2024-03-28,2024-04-03,1,1
547180,Bryce Harper,2024-03-28,2024-04-03,3,1
572233,Christian Walker,2024-03-28,2024-04-03,3,1
592885,Christian Yelich,2024-03-28,2024-04-03,2,1
641355,Cody Bellinger,2024-03-28,2024-04-03,1,1
608369,Corey Seager,2024-03-28,2024-04-03,1,1
621020,Dansby Swanson,2024-03-28,2024-04-03,1,1
553993,Eugenio Suarez,2024-03-28,2024-04-03,1,1
518692,Freddie Freeman,2024-03-28,2024-04-03,1,1
683002,Gunnar Henderson,2024-03-28,2024-04-03,1,1
673490,Ha-seong Kim,2024-03-28,2024-04-03,1,1
670623,Isaac Paredes,2024-03-28,2024-04-03,2,1
608070,Jose Ramirez,2024-03-28,2024-04-03,1,1
665742,Juan Soto,2024-03-28,2024-04-03,1,1
606466,Ketel Marte,2024-03-28,2024-04-03,1,1
663656,Kyle Tucker,2024-03-28,2024-04-03,2,1
621566,Matt Olson,2024-03-28,2024-04-03,1,1
545361,Mike Trout,2024-03-28,2024-04-03,3,1
605141,Mookie Betts,2024-03-28,2024-04-03,4,1
645277,Ozzie Albies,2024-03-28,2024-04-03,2,1
646240,Rafael Devers,2024-03-28,2024-04-03,1,1
660271,Shohei Ohtani,2024-03-28,2024-04-03,1,1
642731,Thairo Estrada,2024-03-28,2024-04-03,1,1
650490,Yandy Diaz,2024-03-28,2024-04-03,1,1
592450,Aaron Judge,2024-04-04,2024-04-10,1,2
666969,Adolis Garcia,2024-04-04,2024-04-10,1,2
663586,Austin Riley,2024-04-04,2024-04-10,1,2
666182,Bo Bichette,2024-04-04,2024-04-10,1,2
607043,Brandon Nimmo,2024-04-04,2024-04-10,2,2
663728,Cal Raleigh,2024-04-04,2024-04-10,2,2
592885,Christian Yelich,2024-04-04,2024-04-10,3,2
641355,Cody Bellinger,2024-04-04,2024-04-10,1,2
682998,Corbin Carroll,2024-04-04,2024-04-10,1,2
621020,Dansby Swanson,2024-04-04,2024-04-10,1,2
596019,Francisco Lindor,2024-04-04,2024-04-10,1,2
683002,Gunnar Henderson,2024-04-04,2024-04-10,1,2
670623,Isaac Paredes,2024-04-04,2024-04-10,2,2
681546,James Outman,2024-04-04,2024-04-10,2,2
608070,Jose Ramirez,2024-04-04,2024-04-10,1,2
