Name,playerid,HR,week_start,week_end
"turner, justin",457759,1,2024-03-28,2024-04-03
"rojas, miguel",500743,2,2024-03-28,2024-04-03
"goldschmidt, paul",502671,1,2024-03-28,2024-04-03
"altuve, josé",514888,3,2024-03-28,2024-04-03
"marte, starling",516782,1,2024-03-28,2024-04-03
"freeman, freddie",518692,1,2024-03-28,2024-04-03
"stanton, giancarlo",519317,1,2024-03-28,2024-04-03
"pérez, salvador",521692,2,2024-03-28,2024-04-03
"garcía, avisaíl",541645,1,2024-03-28,2024-04-03
"ozuna, marcell",542303,3,2024-03-28,2024-04-03
"hicks, aaron",543305,1,2024-03-28,2024-04-03
"higashioka, kyle",543309,1,2024-03-28,2024-04-03
"springer, george",543807,2,2024-03-28,2024-04-03
"trout, mike",545361,3,2024-03-28,2024-04-03
"harper, bryce",547180,3,2024-03-28,2024-04-03
"díaz, elías",553869,1,2024-03-28,2024-04-03
"suárez, eugenio",553993,1,2024-03-28,2024-04-03
"haniger, mitch",571745,1,2024-03-28,2024-04-03
"maile, luke",571912,1,2024-03-28,2024-04-03
"muncy, max",571970,1,2024-03-28,2024-04-03
"walker, christian",572233,3,2024-03-28,2024-04-03
"contreras, willson",575929,2,2024-03-28,2024-04-03
"canha, mark",592192,1,2024-03-28,2024-04-03
"judge, aaron",592450,1,2024-03-28,2024-04-03
"machado, manny",592518,1,2024-03-28,2024-04-03
"realmuto, j. t.",592663,1,2024-03-28,2024-04-03
"rosario, eddie",592696,1,2024-03-28,2024-04-03
"yelich, christian",592885,2,2024-03-28,2024-04-03
"candelario, jeimer",600869,1,2024-03-28,2024-04-03
"betts, mookie",605141,4,2024-03-28,2024-04-03
"davis, j. d.",605204,2,2024-03-28,2024-04-03
"martini, nick",605361,2,2024-03-28,2024-04-03
"hernández, teoscar",606192,4,2024-03-28,2024-04-03
"marte, ketel",606466,1,2024-03-28,2024-04-03
"ramírez, josé",608070,1,2024-03-28,2024-04-03
"gallo, joey",608336,1,2024-03-28,2024-04-03
"kelly, carson",608348,1,2024-03-28,2024-04-03
"seager, corey",608369,1,2024-03-28,2024-04-03
"jankowski, travis",608671,1,2024-03-28,2024-04-03
"swanson, dansby",621020,1,2024-03-28,2024-04-03
"ward, taylor",621493,3,2024-03-28,2024-04-03
"olson, matt",621566,1,2024-03-28,2024-04-03
"santander, anthony",623993,2,2024-03-28,2024-04-03
"alonso, pete",624413,1,2024-03-28,2024-04-03
"biggio, cavan",624415,1,2024-03-28,2024-04-03
"conforto, michael",624424,3,2024-03-28,2024-04-03
"gordon, nick",624503,1,2024-03-28,2024-04-03
"soler, jorge",624585,2,2024-03-28,2024-04-03
"bellinger, cody",641355,1,2024-03-28,2024-04-03
"crawford, j. p.",641487,1,2024-03-28,2024-04-03
"o'neill, tyler",641933,2,2024-03-28,2024-04-03
"tellez, rowdy",642133,1,2024-03-28,2024-04-03
"siri, josé",642350,1,2024-03-28,2024-04-03
"estrada, thairo",642731,1,2024-03-28,2024-04-03
"cooper, garrett",643265,1,2024-03-28,2024-04-03
"albies, ozzie",645277,2,2024-03-28,2024-04-03
"devers, rafael",646240,1,2024-03-28,2024-04-03
"naylor, josh",647304,1,2024-03-28,2024-04-03
"díaz, yandy",650490,1,2024-03-28,2024-04-03
"de la cruz, bryan",650559,1,2024-03-28,2024-04-03
"adams, riley",656180,1,2024-03-28,2024-04-03
"chapman, matt",656305,2,2024-03-28,2024-04-03
"hoskins, rhys",656555,2,2024-03-28,2024-04-03
"mullins, cedric",656775,1,2024-03-28,2024-04-03
"schwarber, kyle",656941,2,2024-03-28,2024-04-03
"verdugo, alex",657077,1,2024-03-28,2024-04-03
"dejong, paul",657557,2,2024-03-28,2024-04-03
"olivares, edward",658668,1,2024-03-28,2024-04-03
"ohtani, shohei",660271,1,2024-03-28,2024-04-03
"ruiz, keibert",660688,1,2024-03-28,2024-04-03
"riley, austin",663586,1,2024-03-28,2024-04-03
"mountcastle, ryan",663624,1,2024-03-28,2024-04-03
"tucker, kyle",663656,2,2024-03-28,2024-04-03
"lowe, brandon",664040,1,2024-03-28,2024-04-03
"moore, dylan",664238,1,2024-03-28,2024-04-03
"isbel, kyle",664728,1,2024-03-28,2024-04-03
"walsh, jared",665120,1,2024-03-28,2024-04-03
"peña, jeremy",665161,2,2024-03-28,2024-04-03
"tatís, fernando",665487,3,2024-03-28,2024-04-03
"guerrero, vladimir",665489,1,2024-03-28,2024-04-03
"soto, juan",665742,1,2024-03-28,2024-04-03
"cabrera, oswaldo",665828,2,2024-03-28,2024-04-03
"cruz, oneil",665833,1,2024-03-28,2024-04-03
"valdez, enmanuel",665839,1,2024-03-28,2024-04-03
"chisholm, jazz",665862,1,2024-03-28,2024-04-03
"benson, will",666181,1,2024-03-28,2024-04-03
"naylor, bo",666310,1,2024-03-28,2024-04-03
"morel, christopher",666624,2,2024-03-28,2024-04-03
"rosario, eguy",666703,1,2024-03-28,2024-04-03
"garcía, adolis",666969,3,2024-03-28,2024-04-03
"gurriel, lourdes",666971,3,2024-03-28,2024-04-03
"arozarena, randy",668227,2,2024-03-28,2024-04-03
"rogers, jake",668670,1,2024-03-28,2024-04-03
"bleday, jj",668709,1,2024-03-28,2024-04-03
"steer, spencer",668715,1,2024-03-28,2024-04-03
"reynolds, bryan",668804,1,2024-03-28,2024-04-03
"lewis, royce",668904,1,2024-03-28,2024-04-03
"marsh, brandon",669016,2,2024-03-28,2024-04-03
"langeliers, shea",669127,1,2024-03-28,2024-04-03
"campusano, luis",669134,1,2024-03-28,2024-04-03
"suwinski, jack",669261,1,2024-03-28,2024-04-03
"shewmake, braden",669699,1,2024-03-28,2024-04-03
"toglia, michael",669911,1,2024-03-28,2024-04-03
"álvarez, yordan",670541,2,2024-03-28,2024-04-03
"paredes, isaac",670623,2,2024-03-28,2024-04-03
"freeman, tyler",671289,1,2024-03-28,2024-04-03
"harris, michael",671739,1,2024-03-28,2024-04-03
"bailey, patrick",672275,1,2024-03-28,2024-04-03
"garcía, maikel",672580,3,2024-03-28,2024-04-03
"diaz, yainer",673237,2,2024-03-28,2024-04-03
"robert, luis",673357,2,2024-03-28,2024-04-03
"kim, ha-seong",673490,1,2024-03-28,2024-04-03
"suzuki, seiya",673548,2,2024-03-28,2024-04-03
"jung, josh",673962,2,2024-03-28,2024-04-03
"westburg, jordan",676059,1,2024-03-28,2024-04-03
"velázquez, nelson",676369,1,2024-03-28,2024-04-03
"meyers, jake",676694,1,2024-03-28,2024-04-03
"schneider, davis",676914,2,2024-03-28,2024-04-03
"alexander, blaze",677942,1,2024-03-28,2024-04-03
"thomas, alek",677950,1,2024-03-28,2024-04-03
"witt, bobby",677951,2,2024-03-28,2024-04-03
"tovar, ezequiel",678662,1,2024-03-28,2024-04-03
"palacios, richie",680700,1,2024-03-28,2024-04-03
"kwan, steven",680757,1,2024-03-28,2024-04-03
"jeffers, ryan",680777,1,2024-03-28,2024-04-03
"donovan, brendan",680977,1,2024-03-28,2024-04-03
"carpenter, kerry",681481,1,2024-03-28,2024-04-03
"álvarez, francisco",682626,1,2024-03-28,2024-04-03
"abrams, cj",682928,1,2024-03-28,2024-04-03
"greene, riley",682985,1,2024-03-28,2024-04-03
"henderson, gunnar",683002,1,2024-03-28,2024-04-03
"volpe, anthony",683011,1,2024-03-28,2024-04-03
"baty, brett",683146,1,2024-03-28,2024-04-03
"canzone, dominic",686527,1,2024-03-28,2024-04-03
"doyle, brenton",686668,1,2024-03-28,2024-04-03
"lee, korey",686676,1,2024-03-28,2024-04-03
"encarnacion-strand, christian",687952,1,2024-03-28,2024-04-03
"pauley, graham",688363,1,2024-03-28,2024-04-03
"chourio, jackson",694192,1,2024-03-28,2024-04-03
"schanuel, nolan",694384,1,2024-03-28,2024-04-03
"merrill, jackson",701538,1,2024-03-28,2024-04-03
"lipscomb, trey",702358,1,2024-03-28,2024-04-03
"lee, jung hoo",808982,1,2024-03-28,2024-04-03
"blackmon, charlie",453568,1,2024-04-04,2024-04-10
"rizzo, anthony",519203,1,2024-04-04,2024-04-10
"stanton, giancarlo",519317,3,2024-04-04,2024-04-10
"ozuna, marcell",542303,2,2024-04-04,2024-04-10
"gomes, yan",543228,1,2024-04-04,2024-04-10
"semien, marcus",543760,1,2024-04-04,2024-04-10
"grichuk, randal",545341,1,2024-04-04,2024-04-10
"trout, mike",545361,3,2024-04-04,2024-04-10
"haniger, mitch",571745,1,2024-04-04,2024-04-10
"muncy, max",571970,1,2024-04-04,2024-04-10
"bryant, kris",592178,1,2024-04-04,2024-04-10
"canha, mark",592192,1,2024-04-04,2024-04-10
"judge, aaron",592450,1,2024-04-04,2024-04-10
"realmuto, j. t.",592663,1,2024-04-04,2024-04-10
"renfroe, hunter",592669,1,2024-04-04,2024-04-10
"yelich, christian",592885,3,2024-04-04,2024-04-10
"bogaerts, xander",593428,1,2024-04-04,2024-04-10
"polanco, jorge",593871,1,2024-04-04,2024-04-10
"profar, jurickson",595777,2,2024-04-04,2024-04-10
"lindor, francisco",596019,1,2024-04-04,2024-04-10
"bell, josh",605137,1,2024-04-04,2024-04-10
"caratini, víctor",605170,1,2024-04-04,2024-04-10
"marte, ketel",606466,2,2024-04-04,2024-04-10
"nimmo, brandon",607043,2,2024-04-04,2024-04-10
"ramírez, josé",608070,1,2024-04-04,2024-04-10
"gallo, joey",608336,2,2024-04-04,2024-04-10
"swanson, dansby",621020,1,2024-04-04,2024-04-10
"correa, carlos",621043,1,2024-04-04,2024-04-10
"stewart, dj",621466,1,2024-04-04,2024-04-10
"olson, matt",621566,2,2024-04-04,2024-04-10
"margot, manuel",622534,1,2024-04-04,2024-04-10
"alonso, pete",624413,2,2024-04-04,2024-04-10
